artist,song,e_label,v_label,youtube_link
Red Hot Chili Peppers,By the Way,2.0,0.0,https://youtube.com/watch?v=JnfyjwChuNU
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,2.0,2.0,https://youtube.com/watch?v=Zx1_6F-nCaw
Atomic Kitten,The Tide Is High - Radio Mix,1.0,1.0,https://youtube.com/watch?v=qnLUoq_RHfg
*NSYNC,Girlfriend,2.0,2.0,https://youtube.com/watch?v=saxnXiBKEaY
Robbie Williams,Somethin' Stupid,1.0,2.0,https://youtube.com/watch?v=vXpYBZQTyd0
Alanis Morissette,Hands Clean,2.0,1.0,https://youtube.com/watch?v=2dH289KxkGw
Usher,U Don't Have to Call,1.0,2.0,https://youtube.com/watch?v=3AszPTJXIgM
Creed,One Last Breath - Radio Version,2.0,0.0,https://youtube.com/watch?v=qUmZW8saYVc
The Goo Goo Dolls,Here Is Gone,2.0,0.0,https://youtube.com/watch?v=tNtN83-vQmw
Puddle Of Mudd,She Hates Me,2.0,1.0,https://youtube.com/watch?v=BYE4CVhVkhw
Ludacris,Rollout (My Business),2.0,2.0,https://youtube.com/watch?v=t21DFnu00Dc
Blazin' Squad,Crossroads - Radio Edit,2.0,1.0,https://youtube.com/watch?v=l6Gpg3JVelU
Default,Wasting My Time,2.0,0.0,https://youtube.com/watch?v=UAocvKHUidg
Michelle Branch,All You Wanted,2.0,1.0,https://youtube.com/watch?v=Cbo2n2MzxxE
Daniel Bedingfield,If You're Not The One,1.0,0.0,https://youtube.com/watch?v=ATPz-sd-i3U
Enrique Iglesias,Escape,2.0,2.0,https://youtube.com/watch?v=9mQJaXwGPlg
Puddle Of Mudd,Blurry,2.0,1.0,https://youtube.com/watch?v=xJJsoquu70o
Coldplay,In My Place,1.0,0.0,https://youtube.com/watch?v=gnIZ7RMuLpU
Outkast,The Whole World (feat. Killer Mike),2.0,2.0,https://youtube.com/watch?v=udmTfK6_aM8
P!nk,Don't Let Me Get Me - Radio Edit,2.0,1.0,https://youtube.com/watch?v=xp0tOLrzQB8
50 Cent,In Da Club,2.0,2.0,https://youtube.com/watch?v=5qm8PH4xAss
Sean Paul,Get Busy,2.0,2.0,https://youtube.com/watch?v=oPQ3o14ksaM
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",2.0,0.0,https://youtube.com/watch?v=_Yhyp-_hX2s
Beyoncé,Crazy In Love (feat. Jay-Z),2.0,2.0,https://youtube.com/watch?v=ViwtNLUqkMY
Counting Crows,Big Yellow Taxi,2.0,2.0,https://youtube.com/watch?v=tvtJPs8IDgU
Black Eyed Peas,Where Is The Love?,2.0,2.0,https://youtube.com/watch?v=WpYeekQkAdc
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,2.0,2.0,https://youtube.com/watch?v=NJc_JFF30CM
Black Eyed Peas,Shut Up,2.0,1.0,https://youtube.com/watch?v=KRzMtlZjXpU
t.A.T.u.,All The Things She Said,2.0,1.0,https://youtube.com/watch?v=8mGBaXPlri8
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,2.0,1.0,https://youtube.com/watch?v=BUP2aEWug7s
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),2.0,1.0,https://youtube.com/watch?v=WDaNJW_jEBo
Panjabi MC,Mundian to Bach Ke,2.0,2.0,https://youtube.com/watch?v=DJztXj2GPfk
Mis-Teeq,Scandalous - U.S. Radio Edit,2.0,1.0,https://youtube.com/watch?v=_-L9gXDjQIY
JAY-Z,03' Bonnie & Clyde,2.0,0.0,https://youtube.com/watch?v=hl5t3TyP8aY
50 Cent,P.I.M.P.,2.0,2.0,https://youtube.com/watch?v=UDApZhXTpH8
Jamelia,Superstar,1.0,2.0,https://youtube.com/watch?v=5k6Y4-OLlXw
Linkin Park,Faint,2.0,1.0,https://youtube.com/watch?v=LYU-8IFcDPw
DMX,X Gon' Give It To Ya,2.0,2.0,https://youtube.com/watch?v=fGx6K90TmCI
Evanescence,Bring Me To Life,2.0,0.0,https://youtube.com/watch?v=3YxaaGgTQYM
Sugababes,Hole In The Head,2.0,2.0,https://youtube.com/watch?v=Lf0tUnUB27I
Craig David,Rise & Fall (feat. Sting),1.0,2.0,https://youtube.com/watch?v=pU2ukeS2JTE
Three Days Grace,I Hate Everything About You,2.0,1.0,https://youtube.com/watch?v=d8ekz_CSBVg
Lil Jon & The East Side Boyz,Get Low,1.0,0.0,https://youtube.com/watch?v=IYH7_GzP4Tg
B2K,"Bump, Bump, Bump (feat. P. Diddy)",2.0,2.0,https://youtube.com/watch?v=CgiX53hjAPc
Baby Bash,Suga Suga,2.0,1.0,https://youtube.com/watch?v=6rgStv12dwA
Aaliyah,Miss You - Main,1.0,1.0,https://youtube.com/watch?v=CJ6sHaL79J8
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,2.0,2.0,https://youtube.com/watch?v=qgYYSdn9jXg
Blue,Sorry Seems To Be The Hardest Word,1.0,1.0,https://youtube.com/watch?v=GvbQzRAi4wM
Delta Goodrem,Lost Without You,2.0,1.0,https://youtube.com/watch?v=YMYUYtsUGgg
Justin Timberlake,Rock Your Body,2.0,2.0,https://youtube.com/watch?v=TSVHoHyErBQ
The White Stripes,Seven Nation Army,1.0,0.0,https://youtube.com/watch?v=0J2QdDbelmY
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,2.0,1.0,https://youtube.com/watch?v=-ro8eaplsV8
Beyoncé,Baby Boy (feat. Sean Paul),1.0,2.0,https://youtube.com/watch?v=8ucz_pm3LX8
Lil' Kim,Magic Stick,1.0,1.0,https://youtube.com/watch?v=8QF6j1iEYts
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),1.0,1.0,https://youtube.com/watch?v=dg8QgUIKXHw
Nickelback,Someday,2.0,1.0,https://youtube.com/watch?v=8Zc4S1shXas
Blue,U Make Me Wanna - Radio Edit,2.0,2.0,https://youtube.com/watch?v=koHo5-0DVlI
Ashanti,Rain On Me,2.0,1.0,https://youtube.com/watch?v=UxP9-4xu5L8
Trapt,Headstrong,2.0,1.0,https://youtube.com/watch?v=HTvu1Yr3Ohk
Simply Red,Sunrise,2.0,2.0,https://youtube.com/watch?v=PE3g2zeBVQQ
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",1.0,2.0,https://youtube.com/watch?v=k03HK88HhmU
Girls Aloud,Sound Of The Underground,2.0,2.0,https://youtube.com/watch?v=u0eAxMxhAUE
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,2.0,2.0,https://youtube.com/watch?v=2yxGYy8_OZI
Room 5,Make Luv,2.0,1.0,https://youtube.com/watch?v=bj-AE5cEaVo
Fatman Scoop,Be Faithful,2.0,1.0,https://youtube.com/watch?v=SmnEhmjgZ9s
Limp Bizkit,Behind Blue Eyes,1.0,0.0,https://youtube.com/watch?v=8IEQpfA528M
Sugababes,Too Lost In You,2.0,1.0,https://youtube.com/watch?v=wo07t6XjNO4
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",2.0,2.0,https://youtube.com/watch?v=ShOQQOy5pf8
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,1.0,2.0,https://youtube.com/watch?v=lBK4DBlOMk0
Chingy,Right Thurr,2.0,2.0,https://youtube.com/watch?v=iO476kD-k0g
Eminem,Sing For The Moment,2.0,0.0,https://youtube.com/watch?v=D4hAVemuQXY
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,2.0,2.0,https://youtube.com/watch?v=G08CTp4BFQI
Mýa,My Love Is Like...Wo - Main Mix,2.0,2.0,https://youtube.com/watch?v=6V7jBAbG7UE
50 Cent,21 Questions,2.0,2.0,https://youtube.com/watch?v=cDMhlvbOFaM
Nelly,Air Force Ones,1.0,1.0,https://youtube.com/watch?v=BfzsMQGqrt0
Missy Elliott,Gossip Folks (feat. Ludacris),1.0,1.0,https://youtube.com/watch?v=kYKI8tAELXY
Girls Aloud,Jump,2.0,2.0,https://youtube.com/watch?v=rk7zhB_m4gc
Ultrabeat,Pretty Green Eyes - Radio Edit,2.0,1.0,https://youtube.com/watch?v=6a-36L6HRxk
Christina Aguilera,Fighter,2.0,1.0,https://youtube.com/watch?v=PstrAfoMKlc
Frankie J,Don't Wanna Try,1.0,0.0,https://youtube.com/watch?v=PfdMcC7nyvk
Snoop Dogg,Beautiful,2.0,2.0,https://youtube.com/watch?v=_FE194VN6c4
Floetry,Say Yes,1.0,1.0,https://youtube.com/watch?v=PCCGIXME164
Ginuwine,In Those Jeans,1.0,0.0,https://youtube.com/watch?v=53JQz0ON--o
Electric Six,Danger! High Voltage - Soulchild Radio Mix,2.0,1.0,https://youtube.com/watch?v=R-FxmoVM7X4
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,2.0,2.0,https://youtube.com/watch?v=nDmdBzs2rig
Ludacris,Stand Up,2.0,2.0,https://youtube.com/watch?v=pZG7IK99OvI
Nas,I Can,2.0,2.0,https://youtube.com/watch?v=RvVfgvHucRY
3 Doors Down,When I'm Gone,2.0,1.0,https://youtube.com/watch?v=pFq1eT9tMJ4
Tyrese,How You Gonna Act Like That,1.0,1.0,https://youtube.com/watch?v=y3HbIHGnSR4
Justin Timberlake,Cry Me a River,1.0,1.0,https://youtube.com/watch?v=DksSPZTZES0
Westlife,Mandy,1.0,1.0,https://youtube.com/watch?v=8ShlE-xobyw
No Doubt,It's My Life,2.0,2.0,https://youtube.com/watch?v=ubvV498pyIM
Amanda Perez,Angel,1.0,1.0,https://youtube.com/watch?v=uODHVuxG_xw
JAY-Z,Excuse Me Miss,2.0,2.0,https://youtube.com/watch?v=tnDh0JhmaFw
Coldplay,Clocks,2.0,0.0,https://youtube.com/watch?v=d020hcWA_Wg
Kelly Rowland,Stole,2.0,1.0,https://youtube.com/watch?v=5o01uU7OdnQ
Missy Elliott,Work It,2.0,1.0,https://youtube.com/watch?v=cjIvu7e6Wq8
Ashanti,Rock Wit U (Awww Baby),2.0,2.0,https://youtube.com/watch?v=o4_DFoOtvfA
Junior Senior,Move Your Feet,2.0,2.0,https://youtube.com/watch?v=SPlQpGeTbIE
Audioslave,Like a Stone,1.0,1.0,https://youtube.com/watch?v=7QU1nvuxaMA
Sean Paul,Like Glue,2.0,1.0,https://youtube.com/watch?v=0zZ2bifb338
Jaheim,Put That Woman First,1.0,1.0,https://youtube.com/watch?v=V3M723634Rc
Jennifer Lopez,All I Have (feat. LL Cool J),2.0,1.0,https://youtube.com/watch?v=yeSJ2YdhG5k
Monica,So Gone,1.0,1.0,https://youtube.com/watch?v=UE6zfOuYfVI
Dido,White Flag,1.0,0.0,https://youtube.com/watch?v=j-fWDrZSiZs
The Roots,The Seed (2.0),2.0,2.0,https://youtube.com/watch?v=ojC0mg2hJCc
Chingy,Holidae In,2.0,2.0,https://youtube.com/watch?v=GmKjTC8yDFM
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),1.0,2.0,https://youtube.com/watch?v=z4gXkpt6jPE
Kelly Clarkson,Miss Independent,1.0,1.0,https://youtube.com/watch?v=dS1ZW0FdoIU
Ja Rule,Mesmerize,1.0,1.0,https://youtube.com/watch?v=VcP96KbFIIU
Matchbox Twenty,Unwell,2.0,1.0,https://youtube.com/watch?v=WziA88-n02k
Outkast,The Way You Move (feat. Sleepy Brown),1.0,1.0,https://youtube.com/watch?v=xI5NQ-0Ubfs
Fabolous,Into You (feat. Tamia),1.0,1.0,https://youtube.com/watch?v=WY85QiFbfdY
Switchfoot,Meant to Live,2.0,1.0,https://youtube.com/watch?v=OXcrEVFZOXs
Daniel Bedingfield,If You're Not The One,1.0,0.0,https://youtube.com/watch?v=ATPz-sd-i3U
Good Charlotte,Lifestyles of the Rich & Famous,2.0,1.0,https://youtube.com/watch?v=y-jC3H_8Dk4
Wayne Wonder,No Letting Go,2.0,0.0,https://youtube.com/watch?v=pT1XhnfMT5c
The Strokes,Reptilia,1.0,2.0,https://youtube.com/watch?v=b8-tXG8KrWs
Avril Lavigne,I'm with You,1.0,0.0,https://youtube.com/watch?v=dGR65RWwzg8
Will Young,Leave Right Now,1.0,1.0,https://youtube.com/watch?v=WbrSLLv0AlA
Usher,Yeah! (feat. Lil Jon & Ludacris),2.0,1.0,https://youtube.com/watch?v=GxBSyx85Kp8
Maroon 5,This Love,2.0,2.0,https://youtube.com/watch?v=XPpTgCho5ZA
Britney Spears,Toxic,2.0,2.0,https://youtube.com/watch?v=LOZuxwVk7TU
Outkast,Hey Ya!,2.0,2.0,https://youtube.com/watch?v=PWgvGjAhvIw
Hoobastank,The Reason,2.0,0.0,https://youtube.com/watch?v=fV4DiAyExN0
Anastacia,Left Outside Alone,2.0,0.0,https://youtube.com/watch?v=uzR5jM9UeJA
Daddy Yankee,Gasolina,2.0,2.0,https://youtube.com/watch?v=XtPY5kxjCWo
Black Eyed Peas,Let's Get It Started - Spike Mix,2.0,2.0,https://youtube.com/watch?v=53gqrQrs8hQ
O-Zone,Dragostea Din Tei,2.0,2.0,https://youtube.com/watch?v=YnopHCL1Jk8
Terror Squad,Lean Back,2.0,2.0,https://youtube.com/watch?v=ajmI1P3r1w4
Anastacia,Sick and Tired,2.0,1.0,https://youtube.com/watch?v=HzfyCuPVpCY
Gwen Stefani,What You Waiting For?,2.0,2.0,https://youtube.com/watch?v=f5qICl3Fr3w
Ashanti,Only U - No Intro,1.0,0.0,https://youtube.com/watch?v=Y6Mk0etsPnY
The Rasmus,In the Shadows,2.0,2.0,https://youtube.com/watch?v=_ao2u7F_Qzg
Houston,I Like That,1.0,1.0,https://youtube.com/watch?v=IdclkOJqaRw
Beyoncé,Naughty Girl,1.0,1.0,https://youtube.com/watch?v=RZuJ_OHBN78
Linkin Park,Numb,2.0,0.0,https://youtube.com/watch?v=kXYiU_JCYtU
Lloyd Banks,On Fire,2.0,1.0,https://youtube.com/watch?v=7waWNvGO2C8
Akon,Locked Up,1.0,1.0,https://youtube.com/watch?v=14PgWitIbSk
D12,My Band,2.0,2.0,https://youtube.com/watch?v=ttWQK5VXskA
Jay Sean,Eyes On You - Radio Mix,2.0,1.0,https://youtube.com/watch?v=FmxEd6rNJPo
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,1.0,1.0,https://youtube.com/watch?v=yoP2rau4sJM
Destiny's Child,Lose My Breath,2.0,1.0,https://youtube.com/watch?v=AqeIiF0DlTg
Eric Prydz,Call on Me - Radio Mix,2.0,1.0,https://youtube.com/watch?v=XRfMVoykoWQ
Ciara,Goodies (feat. Petey Pablo),1.0,2.0,https://youtube.com/watch?v=YtC92pzp5vw
Kelis,Trick Me,2.0,2.0,https://youtube.com/watch?v=8hU6L7XUqPU
LL Cool J,Headsprung,2.0,1.0,https://youtube.com/watch?v=JQcAzie9AJ0
Spiderbait,Black Betty - Edit,2.0,1.0,https://youtube.com/watch?v=nU1VfYYKMDk
George Michael,Amazing,2.0,2.0,https://youtube.com/watch?v=6YziZ1FlAWs
Britney Spears,My Prerogative,2.0,1.0,https://youtube.com/watch?v=dIOH8Trfas4
Nina Sky,Move Ya Body,2.0,2.0,https://youtube.com/watch?v=u2_E62NY3hg
Baby Bash,Suga Suga,2.0,1.0,https://youtube.com/watch?v=6rgStv12dwA
Petey Pablo,Freek-A-Leek,2.0,1.0,https://youtube.com/watch?v=M48nlk-1kH8
JAY-Z,Dirt Off Your Shoulder,1.0,1.0,https://youtube.com/watch?v=Oz_-VaTHpc8
Juanes,La Camisa Negra,2.0,2.0,https://youtube.com/watch?v=kRt2sRyup6A
Avril Lavigne,Nobody's Home,2.0,0.0,https://youtube.com/watch?v=NGFSNE18Ywc
Robbie Williams,Radio,2.0,2.0,https://youtube.com/watch?v=Vdg_TxuTZLc
Black Eyed Peas,Hey Mama,2.0,2.0,https://youtube.com/watch?v=rtczBseiAac
Ying Yang Twins,Salt Shaker,2.0,0.0,https://youtube.com/watch?v=aJEzl31zL-I
Enrique Iglesias,Not In Love - Radio Mix,2.0,2.0,https://youtube.com/watch?v=EmrJatTAVvk
Kelis,Milkshake,2.0,2.0,https://youtube.com/watch?v=pGL2rytTraA
Linkin Park,Breaking the Habit,2.0,1.0,https://youtube.com/watch?v=v2H4l9RpkwM
JoJo,Leave (Get Out) - Radio Edit,1.0,1.0,https://youtube.com/watch?v=-olt6nYc1vM
Christina Milian,Dip It Low,2.0,1.0,https://youtube.com/watch?v=5z5Mvyp1QHw
Avant,Read Your Mind,1.0,2.0,https://youtube.com/watch?v=lq3vcRpRh_g
Eminem,Just Lose It,1.0,2.0,https://youtube.com/watch?v=9dcVOmEQzKA
Sugababes,Too Lost In You,2.0,1.0,https://youtube.com/watch?v=wo07t6XjNO4
Snoop Dogg,Drop It Like It's Hot,1.0,2.0,https://youtube.com/watch?v=GtUVQei3nX4
Sean Paul,I'm Still in Love with You (feat. Sasha),1.0,2.0,https://youtube.com/watch?v=AQ4TW5Z8eu0
The Shapeshifters,Lola's Theme - Radio Edit,2.0,1.0,https://youtube.com/watch?v=DlQJ5XkzX0w
D12,How Come,2.0,1.0,https://youtube.com/watch?v=h4eTUrunPXU
Basement Jaxx,Good Luck,2.0,0.0,https://youtube.com/watch?v=HbVKmSQqELY
Kevin Lyttle,Turn Me On,2.0,2.0,https://youtube.com/watch?v=GP3Exc5tCtc
Chingy,One Call Away,2.0,2.0,https://youtube.com/watch?v=jheGmdxETSk
T.I.,Bring Em Out,2.0,1.0,https://youtube.com/watch?v=UZckXxpGNa8
DJ Casper,Cha Cha Slide - Hardino Mix,2.0,2.0,https://youtube.com/watch?v=8HKkT3F7wVs
Kylie Minogue,I Believe in You,2.0,1.0,https://youtube.com/watch?v=HZp2bk4YHFY
Twista,Overnight Celebrity,2.0,2.0,https://youtube.com/watch?v=I177W0XJlT4
N.E.R.D,She Wants To Move,2.0,2.0,https://youtube.com/watch?v=mXC3h95PtDY
Britney Spears,Everytime,0.0,0.0,https://youtube.com/watch?v=8YzabSdk7ZA
U2,Vertigo,2.0,1.0,https://youtube.com/watch?v=98W9QuMq-2k
Franz Ferdinand,Take Me Out,1.0,1.0,https://youtube.com/watch?v=Ijk4j-r7qPA
J-Kwon,Tipsy - Club Mix,2.0,1.0,https://youtube.com/watch?v=9uQQ6q-xKUA
G-Unit,Wanna Get To Know You,2.0,2.0,https://youtube.com/watch?v=15RAKnIejl8
Lil' Flip,Sunshine (feat. Lea),1.0,2.0,https://youtube.com/watch?v=pV9L70wzOvo
Kanye West,Jesus Walks,2.0,2.0,https://youtube.com/watch?v=MYF7H_fpc-g
Evanescence,My Immortal,0.0,0.0,https://youtube.com/watch?v=5anLPw0Efmo
Nelly,My Place,1.0,1.0,https://youtube.com/watch?v=Vh2I2HabjEM
Lemar,If There's Any Justice,1.0,1.0,https://youtube.com/watch?v=OrXB31Znxpk
No Doubt,It's My Life,2.0,2.0,https://youtube.com/watch?v=ubvV498pyIM
Avril Lavigne,Don't Tell Me,2.0,1.0,https://youtube.com/watch?v=zMbIipvQL0c
Twista,Slow Jamz,2.0,1.0,https://youtube.com/watch?v=rOUNltnovP0
Green Day,American Idiot,2.0,2.0,https://youtube.com/watch?v=Ee_uujKuJMI
Kelis,Millionaire,2.0,2.0,https://youtube.com/watch?v=5ttz09151sQ
Scissor Sisters,Comfortably Numb,2.0,2.0,https://youtube.com/watch?v=2lsCEgcRozY
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),1.0,0.0,https://youtube.com/watch?v=SLCtH9lRj7Q
Kanye West,Through The Wire,2.0,1.0,https://youtube.com/watch?v=uvb-1wjAtk4
Special D.,Come With Me - Radio Edit,2.0,1.0,https://youtube.com/watch?v=UHvLmAOk7-s
Ludacris,Splash Waterfalls,2.0,2.0,https://youtube.com/watch?v=w_sTTvyiiPo
Avril Lavigne,My Happy Ending,2.0,2.0,https://youtube.com/watch?v=s8QYxmpuyxg
Dido,White Flag,1.0,0.0,https://youtube.com/watch?v=j-fWDrZSiZs
Eamon,Fuck It (I Don't Want You Back),1.0,1.0,https://youtube.com/watch?v=QYwyaCd8MyI
Beyoncé,"Me, Myself and I",1.0,1.0,https://youtube.com/watch?v=4S37SGxZSMc
3 Doors Down,Here Without You,1.0,0.0,https://youtube.com/watch?v=kPBzTxZQG5Q
Kanye West,All Falls Down,2.0,1.0,https://youtube.com/watch?v=8kyWDhB_QeI
Twista,Sunshine (feat. Anthony Hamilton),2.0,2.0,https://youtube.com/watch?v=cZVhhnXOI84
Katie Melua,The Closest Thing to Crazy,0.0,0.0,https://youtube.com/watch?v=C-BnRZ52jHs
Usher,My Boo,1.0,2.0,https://youtube.com/watch?v=fPgf2meEX1w
Lloyd,Southside,1.0,1.0,https://youtube.com/watch?v=UY2V5LZw4WI
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,2.0,2.0,https://youtube.com/watch?v=Yos4iNlTs4Y
The Streets,Fit but You Know It,2.0,2.0,https://youtube.com/watch?v=MEIRNj0EmH0
JUVENILE,Slow Motion,2.0,2.0,https://youtube.com/watch?v=-0llNuv3L4k
Outkast,The Way You Move (feat. Sleepy Brown),1.0,1.0,https://youtube.com/watch?v=xI5NQ-0Ubfs
Girls Aloud,Love Machine,2.0,2.0,https://youtube.com/watch?v=owJHNSF9bm0
Jessica Simpson,With You,2.0,1.0,https://youtube.com/watch?v=VWl7WjAtBME
Eminem,Like Toy Soldiers,2.0,1.0,https://youtube.com/watch?v=lexLAjh8fPA
Gary Jules,Mad World (Feat. Michael Andrews),0.0,0.0,https://youtube.com/watch?v=HgLle5YASeg
Ashlee Simpson,Pieces Of Me,2.0,2.0,https://youtube.com/watch?v=WJCsyLUCSXI
Will Young,Leave Right Now,1.0,1.0,https://youtube.com/watch?v=WbrSLLv0AlA
Alicia Keys,You Don't Know My Name,1.0,0.0,https://youtube.com/watch?v=_ST6ZRbhGiA
Mariah Carey,We Belong Together,1.0,2.0,https://youtube.com/watch?v=0habxsuXW4g
Mario,Let Me Love You,1.0,1.0,https://youtube.com/watch?v=H64QG4UsrGI
Kanye West,Gold Digger,2.0,1.0,https://youtube.com/watch?v=6vwNcNOTVzY
Rihanna,Pon de Replay,1.0,1.0,https://youtube.com/watch?v=oEauWw9ZGrA
50 Cent,Candy Shop,1.0,2.0,https://youtube.com/watch?v=SRcnnId15BA
James Blunt,You're Beautiful,1.0,1.0,https://youtube.com/watch?v=oofSnsGkops
Green Day,Boulevard of Broken Dreams,2.0,1.0,https://youtube.com/watch?v=Soa3gO7tL-c
The Pussycat Dolls,Don't Cha,1.0,1.0,https://youtube.com/watch?v=YNSxNsr4wmA
Daniel Powter,Bad Day,2.0,1.0,https://youtube.com/watch?v=gH476CxJxfg
Akon,Bananza (Belly Dancer),2.0,1.0,https://youtube.com/watch?v=v9w9mQx7MN4
Madonna,Hung Up,1.0,1.0,https://youtube.com/watch?v=EDwb9jOVRtU
50 Cent,Just A Lil Bit,2.0,1.0,https://youtube.com/watch?v=GllEDACUbNo
Crazy Frog,Axel F,2.0,2.0,https://youtube.com/watch?v=k85mRPqvMbE
Eminem,Ass Like That,2.0,2.0,https://youtube.com/watch?v=um4-d7VzZiE
Sean Paul,We Be Burnin',2.0,2.0,https://youtube.com/watch?v=uUGFhVWPOFs
Gwen Stefani,Rich Girl,2.0,2.0,https://youtube.com/watch?v=9rlNpWYQunY
The Chemical Brothers,Galvanize,2.0,1.0,https://youtube.com/watch?v=Xu3FTEmN-eg
Fort Minor,Remember the Name (feat. Styles of Beyond),2.0,2.0,https://youtube.com/watch?v=VDvr08sCPOc
50 Cent,Disco Inferno,1.0,2.0,https://youtube.com/watch?v=GNqYWkiBHHw
The Game,How We Do,1.0,1.0,https://youtube.com/watch?v=PH34kMOjmQk
Chris Brown,Run It! (feat. Juelz Santana),1.0,0.0,https://youtube.com/watch?v=w6QGe-pXgdI
Mariah Carey,It's Like That,1.0,2.0,https://youtube.com/watch?v=uI2cwfluyNo
Black Eyed Peas,My Humps,2.0,1.0,https://youtube.com/watch?v=iEe_eraFWWs
Ciara,Oh (feat. Ludacris),1.0,1.0,https://youtube.com/watch?v=Hr4wz4-27PY
50 Cent,Outta Control - Remix,1.0,1.0,https://youtube.com/watch?v=Z3Oux1lN__4
Baby Bash,"Baby, I'm Back",1.0,2.0,https://youtube.com/watch?v=mEqDKq_GkJE
Jennifer Lopez,Get Right,2.0,1.0,https://youtube.com/watch?v=1WIsnC-h1d0
JAY-Z,Numb / Encore,2.0,2.0,https://youtube.com/watch?v=sCRRRofQ4tI
The Game,Hate It Or Love It,2.0,1.0,https://youtube.com/watch?v=BuMBmK5uksg
Gorillaz,Feel Good Inc.,2.0,2.0,https://youtube.com/watch?v=HyHNuVaZJ-k
Black Eyed Peas,Don't Phunk With My Heart,2.0,1.0,https://youtube.com/watch?v=P4Bda6_usuc
Akon,Lonely,1.0,1.0,https://youtube.com/watch?v=6EEW-9NDM5k
Bodyrockers,I Like The Way - Radio Edit,2.0,2.0,https://youtube.com/watch?v=hxb_-6uteO8
Sugababes,Push The Button,1.0,2.0,https://youtube.com/watch?v=oJDGcxAf9D8
Jeezy,Soul Survivor,1.0,0.0,https://youtube.com/watch?v=gczBgNB-p1w
Eminem,Mockingbird,2.0,0.0,https://youtube.com/watch?v=oXxcTt3KPFA
Shakira,La Tortura (feat. Alejandro Sanz),2.0,2.0,https://youtube.com/watch?v=Dsp_8Lm1eSk
Gorillaz,DARE,2.0,2.0,https://youtube.com/watch?v=uAOR6ib95kQ
Snoop Dogg,Signs,2.0,1.0,https://youtube.com/watch?v=Axva8NKws0M
Robbie Williams,Tripping,2.0,2.0,https://youtube.com/watch?v=g52Uh9wmqZg
David Banner,Play,1.0,1.0,https://youtube.com/watch?v=qld7WvHa5kc
Trillville,Some Cut,1.0,1.0,https://youtube.com/watch?v=WZd2MEOvdQ4
D4L,Laffy Taffy,1.0,1.0,https://youtube.com/watch?v=3NXBgSCSrIk
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),2.0,2.0,https://youtube.com/watch?v=na7lIb09898
Rob Thomas,Lonely No More,2.0,2.0,https://youtube.com/watch?v=7spBU4Yv8fE
Brian McFadden,Almost Here,1.0,0.0,https://youtube.com/watch?v=oah-OYibXfw
Bobby V.,"Slow Down - 12"" Version",2.0,1.0,https://youtube.com/watch?v=bx9N3JxjD8Q
Backstreet Boys,Incomplete,1.0,0.0,https://youtube.com/watch?v=WVe80iZtlYU
Pretty Ricky,Grind With Me,1.0,0.0,https://youtube.com/watch?v=AdJtw7vS1E8
Kanye West,Diamonds From Sierra Leone - Remix,2.0,1.0,https://youtube.com/watch?v=Do3iJ6DWvpQ
Snoop Dogg,Drop It Like It's Hot,1.0,2.0,https://youtube.com/watch?v=GtUVQei3nX4
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,1.0,1.0,https://youtube.com/watch?v=hthQhvOH-rI
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),1.0,2.0,https://youtube.com/watch?v=qFJ3VKnwmJw
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",1.0,2.0,https://youtube.com/watch?v=iBHNgV6_znU
Amerie,1 Thing,2.0,2.0,https://youtube.com/watch?v=bbqVg_23otg
Ludacris,Get Back,1.0,0.0,https://youtube.com/watch?v=5yt849wJyVk
Franz Ferdinand,Do You Want To,2.0,2.0,https://youtube.com/watch?v=1OJRRUnY--A
Natalie Imbruglia,Shiver,2.0,0.0,https://youtube.com/watch?v=ZwAd_ag9Q0E
Gwen Stefani,Hollaback Girl,2.0,2.0,https://youtube.com/watch?v=Kgjkth6BRRY
Pretty Ricky,Your Body,1.0,1.0,https://youtube.com/watch?v=-6CdIQER73c
Thirty Seconds To Mars,The Kill,2.0,0.0,https://youtube.com/watch?v=8yvGCAvOAfM
