artist,song,e_label,v_label,youtube_link
Daft Punk,One More Time,2.0,1.0,https://youtube.com/watch?v=FGBhQbmPwH8
Outkast,Ms. Jackson,2.0,1.0,https://youtube.com/watch?v=MYxAiK6VnXw
Fragma,Everytime You Need Me - Radio Version,2.0,2.0,https://youtube.com/watch?v=_wOX-bMvQw0
Mariah Carey,Loverboy,2.0,2.0,https://youtube.com/watch?v=L86YFJYv3RQ
Dido,Thank You,1.0,2.0,https://youtube.com/watch?v=1TO48Cnl66w
Joe,Stutter (feat. Mystikal) - Double Take Remix,2.0,2.0,https://youtube.com/watch?v=FiJuyekQsK4
P.O.D.,Youth of the Nation,2.0,1.0,https://youtube.com/watch?v=EDKwCvD56kw
Jennifer Lopez,Play,2.0,2.0,https://youtube.com/watch?v=tFuw-YZaTNo
Missy Elliott,Get Ur Freak On,2.0,2.0,https://youtube.com/watch?v=FPoKiGQzbSQ
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),2.0,1.0,https://youtube.com/watch?v=KUmrNavXsd0
Christina Milian,AM To PM,2.0,2.0,https://youtube.com/watch?v=tCRwjtz4g9k
Roger Sanchez,Another Chance,2.0,1.0,https://youtube.com/watch?v=Bj_qd2EWthY
Gorillaz,Clint Eastwood,2.0,1.0,https://youtube.com/watch?v=1V_xRb0x9aw
2Pac,Until The End Of Time,2.0,1.0,https://youtube.com/watch?v=VrwQx8GUVNs
Tamia,Stranger in My House,1.0,0.0,https://youtube.com/watch?v=RSP-9SebVpY
Mary J. Blige,No More Drama,2.0,1.0,https://youtube.com/watch?v=em328ua_Lo8
Jennifer Lopez,Love Don't Cost a Thing,2.0,2.0,https://youtube.com/watch?v=4kGvlESGvbs
Jamiroquai,Little L,2.0,2.0,https://youtube.com/watch?v=1hHSH9sJUEo
Case,Missing You,1.0,2.0,https://youtube.com/watch?v=MpTJnJwEnE0
112,Peaches & Cream,1.0,2.0,https://youtube.com/watch?v=wl2NCXzg1FQ
Five,Let's Dance - Radio Edit,2.0,1.0,https://youtube.com/watch?v=FTvTeFpnCqY
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],2.0,2.0,https://youtube.com/watch?v=4O95kOGMBz4
Alien Ant Farm,Smooth Criminal,2.0,2.0,https://youtube.com/watch?v=CDl9ZMfj6aE
